15,dir.,pic.,success time,acc. 
Plate,5,75,11,73.33
AC adapter,3,85,4,26.67
Candy,10,3,10,66.67
Spray can,9,3,8,53.33
Tooth brush,7,30,7,46.67
Chocolate snack,7,3,9,60.00
Cell phone,3,3,9,60.00
Cosmetic bottle,9,26,14,93.33
PC mouse,1,23,13,86.67
Pen,1,32,12,80.00
Book,6,25,10,66.67
Spoon,4,3,8,53.33
Flashlight,5,7,7,46.67
Green pepper,8,38,13,86.67
Cup,3,17,5,33.33
Lemon,8,24,14,93.33
Sunglasses,1,9,6,40.00
Knife,4,21,5,33.33
Spatula,4,11,10,66.67
Whisk,7,22,12,80.00
T-shaped razor,2,24,8,53.33
